,username,album,artist,date_posted,url
67,@hemera.jpg,Sin Miedo (del Amor y Otros Demonios) ∞,Kali Uchis,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a2aa0354e06545fb4736694ee8639b89.jpg
68,@cba_s,POST HUMAN: SURVIVAL HORROR,Bring Me the Horizon,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a3b5703f78963cecd6333049ebe39dbb.jpg
69,@_mimi.ray_,"Too Weird to Live, Too Rare to Die!",Panic! at the Disco,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a4774f5ef1874ef59f90a44d562c8e0d.jpg
70,"@sloppycorn, @filippidis.g, @dane_homler, @smbugatti, @_th0mas.gray_",No Pressure,Logic,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a8202245663f7c1ca5e3040e9c988faf.jpg
71,@aleishajamess,Melanchole,Salvia Palth,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a8b54c6237274792a225c3cc524a8e21.jpg
72,@hannahh_grace04,drivers license,Olivia Rodrigo,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/9e08e6a543377c360226c2c367eb0c5a.jpg
73,@rumpniisse,Be the Cowboy,Mitski,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a9b9c68a6ecb979e1ac95e28bb28e06b.jpg
74,@vickyhang6,IN LIFE,Stray Kids,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/a9c7451e44b3fe16eecf04bd1dae45b0.jpg
75,"@st4ynumb, @axellegbrt, @notxmaar",Life Support,Madison Beer,2021-07-05 09:26:27.842636,https://lastfm.freetls.fastly.net/i/u/100s/ab7bd6e50c2259248fc4ddae82c7d125.jpg
76,"@omnipresentphotographer, @francisco_saldanha09, @moshtillyoudrop",Peace Sells...But Who's Buying?,Megadeth,2021-07-06 08:17:01.077211,https://lastfm.freetls.fastly.net/i/u/100s/ab8925256f2f0d141161780475391175.jpg
77,@pariluvesjins,And Also the Trees,And Also The Trees,2021-07-06 08:17:15.523480,https://lastfm.freetls.fastly.net/i/u/100s/ace994d6ee72429697f7a02978ea13f5.jpg
78,"@razorflavouredhashbrowns, @zhonglipebblejesus",Spirit Phone,Lemon Demon,2021-07-06 08:17:29.191333,https://lastfm.freetls.fastly.net/i/u/100s/ae09ccc003a1965a7928803b39b79e9b.jpg
79,"@crabsticks.jpg, @n.mag__rutsch, @eilapatriciacalma, @jm.svg",Blonde,Frank Ocean,2021-07-06 08:17:43.626753,https://lastfm.freetls.fastly.net/i/u/100s/b7498614ca565faaa2704654b638024e.jpg
80,"@domsholywater, @maria_serquera, @laurencait.26, @zoesmar.tie",Weird!,YUNGBLUD,2021-07-06 08:18:00.692910,https://lastfm.freetls.fastly.net/i/u/100s/c01be198d8499c3bf2a6aa4e323fb06b.jpg
81,@sleep0nthefloor,Marigold,Pinegrove,2021-07-06 08:18:15.056918,https://lastfm.freetls.fastly.net/i/u/100s/c0a3923aec53dc95e1aac164a8bc5363.jpg
82,"@ahlaynariley, @noufelzf, @sadbeaner666",Tickets To My Downfall,MGK,2021-07-06 08:18:30.442911,https://lastfm.freetls.fastly.net/i/u/100s/c10d13a43cbd2abc3538133ac05e4c96.jpg
83,@wheresdre,When It's All Said And Done... Take Time,Giveon,2021-07-06 08:18:46.785528,https://lastfm.freetls.fastly.net/i/u/100s/c1837f732cb56a401c5e93c88711e6af.jpg
84,@laurencait.26,The Defamation of Strickland Banks,Plan B,2021-07-06 08:19:17.422387,https://lastfm.freetls.fastly.net/i/u/100s/cec5aba27f89440c98046c153c3767d1.jpg
85,"@qaisarasuffian, @astropulviss",Mylo Xyloto,Coldplay,2021-07-06 08:19:31.756481,https://lastfm.freetls.fastly.net/i/u/100s/d21b3431b5804ca5a7bc90be51dde292.jpg
86,"@rubymayprivatee, @ajrs_pigeons_",The Click,AJR,2021-07-06 08:19:46.567972,https://lastfm.freetls.fastly.net/i/u/100s/d23ad48276498bd14565ecb1f028af83.jpg
87,"@guillaume.blstr, @ramzykane, @ninoska_black, @mileysrare",Dangerous,Michael Jackson,2021-07-06 08:20:00.793299,https://lastfm.freetls.fastly.net/i/u/100s/d667ae4d5428c14d47934dcb8995e84c.jpg
88,@_sofisticataa,25,Adele,2021-07-06 08:20:16.199494,https://lastfm.freetls.fastly.net/i/u/100s/d7122689fe7250d072f7b10d824f6ca9.jpg
89,@izzyvinas,Paradise EP,Chase Atlantic,2021-07-06 08:20:31.020708,https://lastfm.freetls.fastly.net/i/u/100s/d94f5ea05b9f488e08c9bb899be81f74.jpg
90,@loris.furlan,rainy evening ep,idealism,2021-07-06 08:20:46.644198,https://lastfm.freetls.fastly.net/i/u/100s/ddf27eae075bb87ef5ab5e8bebda60a3.jpg
91,@ebony.couley,The Gift of Game,Crazy Town,2021-07-06 08:21:03.068217,https://lastfm.freetls.fastly.net/i/u/100s/e17e8ab11291469a84bc869d59b9cf09.jpg
